-157.838485,21.305632,Subway,"1249 Wilder Ave, Honolulu, HI, 96822"
-157.838174,21.285193,Subway,"1778 Ala Moana Blvd, Honolulu, HI, 96815"
-157.837585,21.29075,Subway,"1695 Kapiolani Blvd, Honolulu, HI, 96814"
-157.833493,21.286279,Subway,"1925 Kalakaua Ave, Honolulu, HI, 96815"
-157.831179,21.279156,Subway,"226 Lewers St., Honolulu, HI, 96815"
-157.82876,21.279047,Subway,"2250 Kalakaua Ave, Honolulu, HI, 96815"
-157.827427,21.437736,Subway,"47-388 Hui Iwa St, Kaneohe, HI, 96744"
-157.825979,21.279476,Subway,"2310 Kuhio Ave, Honolulu, HI, 96815"
-157.825233,21.276992,Subway,"131 Kaiulani Ave, Honolulu, HI, 96815"
-157.823671,21.292408,Subway,"2507 S King St, Honolulu, HI, 96825"
-157.822919,21.27217,Subway,"2570 Kalakaua Avenue, Honolulu, HI, 96815"
-157.820309,21.29921,Subway,"2465 Campus Rd, Honolulu, HI, 96822"
-157.811237,21.309129,Subway,"2851 E Manoa Rd, Honolulu, HI, 96822"
-157.809467,21.287918,Subway,"3133 Waialae Ave, Honolulu, HI, 96816"
-157.806377,21.417971,Subway,"Marine Corps Exch Bldg 6109, Kaneohe Bay, HI, 96744"
-157.803484,21.420469,Subway,"46-056 Kamehameha Highway, Kaneohe, HI, 96744"
-157.803024,21.420241,Subway,"46-047 Kamehameha Highway, Kaneohe, HI, 96744"
-157.800422,21.282119,Subway,"1129 11th Ave, Honolulu, HI, 96816"
-157.798774,21.402616,Subway,"45-480 Kaneohe Bay Dr, Kaneohe, HI, 96744"
-157.787481,21.278448,Subway,"4211 Waialae Ave, Honolulu, HI, 96816"
-157.78522,21.275011,Subway,"4614 Kilauea Ave, Honolulu, HI, 96816"
-157.755214,21.278605,Subway,"820-850 Hind Dr, Honolulu, HI, 96821"
-157.754219,21.439966,Subway,"Marine Corps Air Station #3071, Kailua, HI, 96734"
-157.744569,21.394435,Subway,"26 Hoolai St, Kailua, HI, 96734"
-157.741157,21.393903,Subway,"600 Kailua Rd, Kailua, HI, 96734"
-157.728653,21.378658,Subway,"1020 Keolu Dr, Kailua, HI, 96734"
-157.721706,21.348094,Subway,"41-1537 Kalanianaole Hwy, Waimanalo, HI, 96795"
-157.706972,21.351509,Subway,"313 Tinker Rd, Waimanalo, HI, 96795"
-157.705107,21.2764,Subway,"7192 Kalanianaole Hwy, Honolulu, HI, 96825"
-156.958213,21.067866,Subway,"130 Kamehameha Hwy, Kaunakakai, HI, 96748"
-156.688334,20.947268,Subway,"3350 Lower Honoapiilani Hwy, Lahaina, HI, 96761"
-156.678665,20.879358,Subway,"910 Honoapiilani Hwy, Lahaina, HI, 96761"
-156.500637,20.887904,Subway,"1955 Main St, Wailuku, HI, 96793"
-156.465375,20.891867,Subway,"70 Kaahumanu Ave, Kahului, HI, 96732"
-156.449085,20.751175,Subway,"247 Piikea St, Kihei, HI, 96753"
-156.431356,20.689186,Subway,"10 Wailea Gateway Place, Kihei, HI, 96753"
-156.342084,20.838691,Subway,"55 Pukalani St, Pukalani, HI, 96768"
-156.018139,19.689026,Subway,"73-5620 Kauhola St, Kailua-Kona, HI, 96740"
-155.999489,19.652468,Subway,"74-5446 Makala Blvd, Kailua-Kona, HI, 96740"
-155.989066,19.646553,Subway,"75-1027 Henry St, Kailua-Kona, HI, 96740"
-155.96333,19.571484,Subway,"78-6831 Alii Dr, Kailua-Kona, HI, 96740"
-155.788779,19.940299,Subway,"Waikaloa Beach Drive, South Kohala, HI, 96738"
-155.787524,19.926945,Subway,"68-1845 Waikoloa Road, Waikoloa, HI, 96743"
-155.085416,19.721904,Subway,"194 Kilauea Avenue, Hilo, HI, 96720"
-155.074746,19.707012,Subway,"14 Lanikaula St, Hilo, HI, 96720"
-155.066225,19.692288,Subway,"2100 Kanoelehua Ave, Hilo, HI, 96720"
-154.959061,19.508845,Subway,"15-2668 Keaau-Pahoa Rd, Pahoa, HI, 96778"
-152.404761,57.787265,Subway,"326 Center St, Kodiak, AK, 99615"
-152.362928,57.810548,Subway,"2911 Mill Bay Road, Kodiak, AK, 99615"
-151.529039,59.648238,Subway,"637 E Pioneer Ave, Homer, AK, 99603"
-151.237939,60.559544,Subway,"10544 Kenai Spur Hwy, Kenai, AK, 99611"
-151.227,60.563301,Subway,"10096 Kenai Spur Highway, Kenai, AK, 99611"
-151.152633,60.484379,Subway,"44045 Kalifornsky Beach Rd, Soldotna, AK, 99669"
-151.067986,60.483603,Subway,"44350 Sterling Highway, Soldotna, AK, 99669"
-150.040891,62.136638,Subway,"Mile 99.3 Parks Highway, Talkeetna, AK, 99676"
-149.95164,61.139304,Subway,"9001 Jewel Lake Rd, Anchorage, AK, 99502"
-149.939363,61.179106,Subway,"4608 Spenard Rd, Anchorage, AK, 99503"
-149.934664,61.141369,Subway,"2909 W 88th Ave, Anchorage, AK, 99502"
